handle,name,platform,primary_url,country,language,audience_size,claude_code_content_count,audience_profile,last_claude_code_content_date,contact_channel,outreach_priority,notes
@aimaker_substack,Wyndo (The AI Maker),substack,https://aimaker.substack.com,unknown,English,19000,6+,AI operators / non-technical builders / entrepreneurs,2026-05,Substack DM,3,"19K+ Substack subs (#70 global Tech). Covers Claude Code as full OS. Non-technical angle. Good for Concerto Hosted referral partnership."
natesnewsletter,Nate (Nate's Newsletter),substack,https://natesnewsletter.substack.com,unknown,English,150000,4+,business professionals / non-coders learning AI,2026-05,Substack DM,3,"150K+ Substack subs (#1 Rising Tech). Published 64-page Claude Code guide. Massive reach with non-developer audience. Good for awareness but lower conversion for BYOC."
@rohitg00,Rohit Ghumare,github+x,https://github.com/rohitg00,UK,English,15000,2+,DevOps / cloud-native / AI engineers,2026-05,Twitter DM,3,"CNCF Ambassador, Docker Captain, Google Developer Expert. awesome-claude-code-toolkit (135 agents, 176 plugins). Credible in cloud-native space."
@julsimon,Julien Simon,medium+x,https://julsimon.medium.com,France,English,10000,3+,ML/AI practitioners / cloud engineers,2026-04,Twitter DM / Medium contact,3,"10K X followers + 7.8K Medium followers. AI Operating Partner at Fortino Capital. Ex-AWS/HuggingFace. European AI practitioner audience."
@steipete,Peter Steinberger,x,https://x.com/steipete,Austria,English,366100,6+,developers / open-source community,2026-04,Twitter DM,3,"366.1K X followers. Created OpenClaw (180K+ GitHub stars). Joined OpenAI Feb 2026. Regular Claude Code posts. High-credibility OSS audience."
@mahamcodes,Maham Rao,youtube+scrimba,https://www.youtube.com/@mahamcodes,Pakistan,English,30000,5+,beginner-intermediate devs / vibe coders,2026-04,YouTube DM,3,"Scrimba instructor. 'Vibe Coding with Claude Code' course. Growing channel. Non-Western creator — good for global diversification of creator program."
@PovilasKorop,Povilas Korop,substack+youtube,https://aicodingdaily.substack.com,Lithuania,English,1500,10+,PHP/Laravel devs / AI coding adopters,2026-05,Substack reply / Twitter DM,3,"1.5K Substack subs + LaravelDaily YT channel. Weekly AI Coding Daily newsletter. PHP/Laravel niche. Lower reach but high engagement; owns his audience."
@levinriegner,Ray Amjad,youtube,https://www.youtube.com/@RAmjad,UK,English,20000,8+,agentic engineers / developers,2026-05,YouTube DM,3,"20K YT subs (est). Cambridge physics grad. 2000+ hours using Claude Code. 'Agentic Coding School' + 'Top 0.01% User's Guide to Claude Code'. Deep content."
@ntcoding,Nick Tune,medium+blog,https://nick-tune.me/blog,UK,English,3000,5+,software architects / DDD practitioners,2026-04,Twitter DM / Medium,4,"3K Medium followers. Author 'Architecture Modernization' (Manning). Hook-driven Claude Code workflow content. Niche audience of enterprise architects."
@FlorianBruniaux,Florian Bruniaux,github+blog,https://github.com/FlorianBruniaux/claude-code-ultimate-guide,France,English,2000,1+,beginner to advanced developers,2026-03,GitHub / LinkedIn,4,"claude-code-ultimate-guide repo. AI Founding Engineer at Méthode Aristote (EdTech). Well-structured quizzes and cheatsheet. Smaller reach but evergreen content."
@george_sl_liu,George Liu (centminmod),github+threads,https://github.com/centminmod/my-claude-code-setup,Australia,English,1800,1+,DevOps / Linux/LEMP stack devs,2026-05,GitHub / Threads,4,"1.8K repo stars. Cloudflare Community MVP since 2018. DevOps/LEMP niche. Low social following but highly trusted in sysadmin circles."
@shanraisshan,Shayan Rais,github,https://github.com/shanraisshan/claude-code-best-practice,Pakistan,English,500,1+,software architects / AI-first devs,2026-02,GitHub,4,"Associate Architect at Disrupt.com. Spec-driven and event-driven systems focus. Small following but practitioner-focused content."
@richardhightower,Rick Hightower,medium,https://medium.com/@richardhightower,USA,English,1000,10+,GenAI practitioners / AI agent builders,2026-05,Medium / Twitter,4,"Former Senior Distinguished Engineer (Fortune 100). 10+ Claude Code articles in 2026. Prolific writer on Towards AI. Low social reach but high SEO value per article."
@VoltAgent,VoltAgent,github,https://github.com/VoltAgent,USA,English,2900,1+,AI/agent engineers,2026-05,GitHub / voltagent.dev,4,"TypeScript AI Agent Framework org. awesome-claude-code-subagents repo (100+ subagents). Developer community; products ship Claude Code tooling."
@shinpr,shinpr,github,https://github.com/shinpr,Japan,English/Japanese,500,3+,agentic coders / TypeScript/MCP users,2026-04,GitHub,4,"claude-code-workflows repo + MCP tools. Tokyo-based developer. Rare Japanese-language adjacent creator. Small following."
@milesdeutscher,Miles Deutscher,x,https://x.com/milesdeutscher,Australia,English,663200,5+,crypto traders / AI enthusiasts / non-technical builders,2026-04,Twitter DM,4,"663.2K X followers. Crypto/AI influencer. Claude Code x TradingView tutorials. Large but crypto-biased audience — lower developer conversion."
@levelsio,Pieter Levels,x,https://x.com/levelsio,Netherlands,English,867400,10+,indie hackers / solo founders / no-code builders,2026-04,Twitter DM,4,"867.4K X followers. Builds products live with Claude Code ($87K/mo AI game). Massive reach but personal brand is very much his own workflow, not tools he endorses."
@deedydas,Deedy Das,x,https://x.com/deedydas,USA,English,200000,8+,developers / VCs / tech industry,2026-04,Twitter DM,4,"200K+ X followers. Partner at Menlo Ventures. Posts Claude Code stats and market analysis. VC-investor audience — less aligned for Concerto but could be a B2B channel."
@aakashgupta,Aakash Gupta,x+newsletter,https://x.com/aakashgupta,USA,English,300000,5+,product managers / non-technical builders / founders,2026-04,Twitter DM,4,"300K+ X followers + 205K Product Growth newsletter. Bridges PM and dev audiences. Claude Code autonomy guides. Broader audience — lower developer conversion for BYOC."
@lennysan,Lenny Rachitsky,x+podcast,https://x.com/lennysan,USA,English,350200,3+,product managers / founders / operators,2026-04,Twitter DM,5,"350.2K X followers + 1M+ newsletter. Interviewed Boris Cherny. Episode on Claude Code writing 90-95% of itself. Very broad audience; mention of Concerto would need to be editorial."
@karpathy,Andrej Karpathy,x,https://x.com/karpathy,USA,English,2400000,5+,ML/ML researchers / senior devs,2026-04,manual_lookup_needed,5,"2.4M X followers. Coined 'vibe coding'. Massive but unfocused on tooling affiliates. Reachable only via warm intro. Not a realistic cold outreach target for Concerto."
@bcherny,Boris Cherny,x,https://x.com/bcherny,USA,English,261500,50+,all Claude Code developers,2026-05,manual_lookup_needed,5,"Head of Claude Code at Anthropic. Creator of Claude Code itself. Not an affiliate target; potential co-marketing only via Anthropic BD relationship."
@aminefennane10,Amine Fennane,medium,https://medium.com/@aminefennane10,Morocco,French,500,1+,French-speaking developers,2026-03,Medium contact,5,"French-language Claude Code workflow guide — rare non-English content. Small reach but signals global adoption beyond English content."
@guayoyo_tech,Guayoyo Tech,dev.to,https://dev.to/guayoyo_tech,Venezuela,English,1000,3+,cloud-native / enterprise integration devs,2026-04,dev.to DM,5,"Venezuelan dev. Spec-Driven Development with Claude Code series (3 parts). Small reach but high quality technical content. Good for geographic diversification."
@ayyazzafar,Ayyaz Zafar,medium+dev.to,https://ayyazzafar.medium.com,Pakistan,English,2000,5+,web developers / beginners,2026-04,Medium / dev.to,5,"14+ years full-stack. Posts on Medium and dev.to. Runs AyyazTech YouTube. Small following but consistent output. Pakistan-based developer."
